"","Gruppe","Bewertet","Geraten_Exemplar","Geraten_Kurz","Belebtheit","Art","Groesse","Exemplar","Kurz","Spricht","Runde_Durchgang","Exemplar_Korrekt","Gruppe_Korrekt","Geraten_Belebtheit","Belebtheit_Korrekt","Geraten_Art","Art_Korrekt","Geraten_Groesse","Groesse_Korrekt"
"155","m","m2_w_19","Jumbojet","UFG","Unbelebt","Instrument","Klein","Handtrommel","UIK","m1_w_18","01_06",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",0
"156","m","m3_w_18","Komodowaran","BRG","Unbelebt","Instrument","Klein","Handtrommel","UIK","m1_w_18","01_06",0,0,"Belebt",0,"Reptil",0,"Gross",0
"157","a","a2_w_26","Spatz","BVK","Belebt","Saeugetier","Klein","Aeffchen","BSK","a1_m_31","01_07",0,0,"Belebt",1,"Vogel",0,"Klein",1
"158","a","a3_m_22","Blaumeise","BVK","Belebt","Saeugetier","Klein","Aeffchen","BSK","a1_m_31","01_07",0,0,"Belebt",1,"Vogel",0,"Klein",1
"159","b","b2_m_27","Kaninchen","BSK","Belebt","Vogel","Gross","Storch","BVG","b1_w_20","01_07",0,0,"Belebt",1,"Saeugetier",0,"Klein",0
"160","b","b3_w_20","Aeffchen","BSK","Belebt","Vogel","Gross","Storch","BVG","b1_w_20","01_07",0,0,"Belebt",1,"Saeugetier",0,"Klein",0
"161","c","c2_w_20","Violine","UIK","Belebt","Vogel","Klein","Blaumeise","BVK","c1_w_41","01_07",0,0,"Unbelebt",0,"Instrument",0,"Klein",1
"162","c","c3_w_31","Kleinflugzeug","UFK","Belebt","Vogel","Klein","Blaumeise","BVK","c1_w_41","01_07",0,0,"Unbelebt",0,"Fahrzeug",0,"Klein",1
"163","d","d2_w_32","Blaumeise","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","d1_w_24","01_07",1,1,"Belebt",1,"Vogel",1,"Klein",1
"164","d","d3_w_24","Spatz","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","d1_w_24","01_07",0,1,"Belebt",1,"Vogel",1,"Klein",1
"165","e","e2_w_25","Blaumeise","BVK","Belebt","Saeugetier","Klein","Aeffchen","BSK","e1_w_24","01_07",0,0,"Belebt",1,"Vogel",0,"Klein",1
"166","e","e3_w_22","Kleiner Bagger","UFK","Belebt","Saeugetier","Klein","Aeffchen","BSK","e1_w_24","01_07",0,0,"Unbelebt",0,"Fahrzeug",0,"Klein",1
"167","f","f2_m_38","Schildkroete","BRK","Belebt","Reptil","Klein","Schildkroete","BRK","f1_w_20","01_07",1,1,"Belebt",1,"Reptil",1,"Klein",1
"168","f","f3_w_24","Schildkroete","BRK","Belebt","Reptil","Klein","Schildkroete","BRK","f1_w_20","01_07",1,1,"Belebt",1,"Reptil",1,"Klein",1
"169","g","g2_w_25","Grosser Bagger","UFG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","g1_w_27","01_07",1,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"170","g","g3_w_26","Grosser Bagger","UFG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","g1_w_27","01_07",1,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"171","h","h2_m_34","Kleinflugzeug","UFK","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","h1_w_27","01_07",1,1,"Unbelebt",1,"Fahrzeug",1,"Klein",1
"172","h","h3_m_30","Grosser Bagger","UFG","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","h1_w_27","01_07",0,0,"Unbelebt",1,"Fahrzeug",1,"Gross",0
"173","i","i2_w_24","Kuh","BSG","Unbelebt","Geraet","Klein","Armbanduhr","UGK","i1_w_30","01_07",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"174","i","i3_m_21","Harpyie","BVG","Unbelebt","Geraet","Klein","Armbanduhr","UGK","i1_w_30","01_07",0,0,"Belebt",0,"Vogel",0,"Gross",0
"175","j","j2_w_20","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Wanduhr","UGG","j1_w_21","01_07",0,1,"Unbelebt",1,"Geraet",1,"Gross",1
"176","j","j3_w_21","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Wanduhr","UGG","j1_w_21","01_07",0,1,"Unbelebt",1,"Geraet",1,"Gross",1
"177","k","k2_w_22","Kleinflugzeug","UFK","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","k1_w_22","01_07",1,1,"Unbelebt",1,"Fahrzeug",1,"Klein",1
"178","k","k3_w_25","Jumbojet","UFG","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","k1_w_22","01_07",0,0,"Unbelebt",1,"Fahrzeug",1,"Gross",0
"179","l","l2_w_22","Grosser Bagger","UFG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","l1_w_20","01_07",1,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"180","l","l3_w_21","Grosser Bagger","UFG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","l1_w_20","01_07",1,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"181","m","m2_w_19","Krokodil","BRG","Belebt","Saeugetier","Gross","Elefant","BSG","m1_w_18","01_07",0,0,"Belebt",1,"Reptil",0,"Gross",1
"182","m","m3_w_18","Elefant","BSG","Belebt","Saeugetier","Gross","Elefant","BSG","m1_w_18","01_07",1,1,"Belebt",1,"Saeugetier",1,"Gross",1
"183","a","a2_w_26","Backofen","UGK","Belebt","Vogel","Gross","Storch","BVG","a1_m_31","01_08",0,0,"Unbelebt",0,"Geraet",0,"Klein",0
"184","a","a3_m_22","Backofen","UGK","Belebt","Vogel","Gross","Storch","BVG","a1_m_31","01_08",0,0,"Unbelebt",0,"Geraet",0,"Klein",0
"185","b","b2_m_27","Grosser Bagger","UFG","Belebt","Saeugetier","Gross","Kuh","BSG","b1_w_20","01_08",0,0,"Unbelebt",0,"Fahrzeug",0,"Gross",1
"186","b","b3_w_20","Gecko","BRK","Belebt","Saeugetier","Gross","Kuh","BSG","b1_w_20","01_08",0,0,"Belebt",1,"Reptil",0,"Klein",0
"187","c","c2_w_20","Igel","BSK","Belebt","Reptil","Klein","Schildkroete","BRK","c1_w_41","01_08",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"188","c","c3_w_31","Baer","BSG","Belebt","Reptil","Klein","Schildkroete","BRK","c1_w_41","01_08",0,0,"Belebt",1,"Saeugetier",0,"Gross",0
"189","d","d2_w_32","Gecko","BRK","Belebt","Vogel","Gross","Storch","BVG","d1_w_24","01_08",0,0,"Belebt",1,"Reptil",0,"Klein",0
"190","d","d3_w_24","Igel","BSK","Belebt","Vogel","Gross","Storch","BVG","d1_w_24","01_08",0,0,"Belebt",1,"Saeugetier",0,"Klein",0
"191","e","e2_w_25","Buerodrucker","UGG","Unbelebt","Instrument","Gross","Kontrabass","UIG","e1_w_24","01_08",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"192","e","e3_w_22","Kuh","BSG","Unbelebt","Instrument","Gross","Kontrabass","UIG","e1_w_24","01_08",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"193","f","f2_m_38","Kontrabass","UIG","Unbelebt","Geraet","Gross","Industriebackofen","UGG","f1_w_20","01_08",0,0,"Unbelebt",1,"Instrument",0,"Gross",1
"194","f","f3_w_24","Industriebackofen","UGG","Unbelebt","Geraet","Gross","Industriebackofen","UGG","f1_w_20","01_08",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"195","g","g2_w_25","Gloeckchen","UIK","Unbelebt","Geraet","Klein","Armbanduhr","UGK","g1_w_27","01_08",0,0,"Unbelebt",1,"Instrument",0,"Klein",1
"196","g","g3_w_26","Kleiner Bagger","UFK","Unbelebt","Geraet","Klein","Armbanduhr","UGK","g1_w_27","01_08",0,0,"Unbelebt",1,"Fahrzeug",0,"Klein",1
"197","h","h2_m_34","Komodowaran","BRG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","h1_w_27","01_08",0,0,"Belebt",0,"Reptil",0,"Gross",1
"198","h","h3_m_30","Komodowaran","BRG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","h1_w_27","01_08",0,0,"Belebt",0,"Reptil",0,"Gross",1
"199","i","i2_w_24","Kleinflugzeug","UFK","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","i1_w_30","01_08",1,1,"Unbelebt",1,"Fahrzeug",1,"Klein",1
"200","i","i3_m_21","Kaninchen","BSK","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","i1_w_30","01_08",0,0,"Belebt",0,"Saeugetier",0,"Klein",1
"201","j","j2_w_20","Baer","BSG","Belebt","Saeugetier","Gross","Baer","BSG","j1_w_21","01_08",1,1,"Belebt",1,"Saeugetier",1,"Gross",1
"202","j","j3_w_21","Baer","BSG","Belebt","Saeugetier","Gross","Baer","BSG","j1_w_21","01_08",1,1,"Belebt",1,"Saeugetier",1,"Gross",1
"203","k","k2_w_22","Kleiner Bagger","UFK","Belebt","Reptil","Klein","Gecko","BRK","k1_w_22","01_08",0,0,"Unbelebt",0,"Fahrzeug",0,"Klein",1
"204","k","k3_w_25","Gecko","BRK","Belebt","Reptil","Klein","Gecko","BRK","k1_w_22","01_08",1,1,"Belebt",1,"Reptil",1,"Klein",1
"205","l","l2_w_22","Handtrommel","UIK","Unbelebt","Instrument","Klein","Handtrommel","UIK","l1_w_20","01_08",1,1,"Unbelebt",1,"Instrument",1,"Klein",1
"206","l","l3_w_21","Handtrommel","UIK","Unbelebt","Instrument","Klein","Handtrommel","UIK","l1_w_20","01_08",1,1,"Unbelebt",1,"Instrument",1,"Klein",1
"207","m","m2_w_19","Kuh","BSG","Unbelebt","Geraet","Klein","Armbanduhr","UGK","m1_w_18","01_08",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"208","m","m3_w_18","Kaninchen","BSK","Unbelebt","Geraet","Klein","Armbanduhr","UGK","m1_w_18","01_08",0,0,"Belebt",0,"Saeugetier",0,"Klein",1
"209","a","a2_w_26","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","a1_m_31","01_09",1,1,"Belebt",1,"Reptil",1,"Gross",1
"210","a","a3_m_22","Blindschleiche","BRK","Belebt","Reptil","Gross","Anakonda","BRG","a1_m_31","01_09",0,0,"Belebt",1,"Reptil",1,"Klein",0
"211","b","b2_m_27","Kleinflugzeug","UFK","Unbelebt","Instrument","Klein","Violine ","UIK","b1_w_20","01_09",0,0,"Unbelebt",1,"Fahrzeug",0,"Klein",1
"212","b","b3_w_20","Grosser Bagger","UFG","Unbelebt","Instrument","Klein","Violine ","UIK","b1_w_20","01_09",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",0
"213","c","c2_w_20","Buerodrucker","UGG","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","c1_w_41","01_09",0,0,"Unbelebt",1,"Geraet",0,"Gross",0
"214","c","c3_w_31","Kuh","BSG","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","c1_w_41","01_09",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"215","d","d2_w_32","Igel","BSK","Belebt","Saeugetier","Klein","Igel","BSK","d1_w_24","01_09",1,1,"Belebt",1,"Saeugetier",1,"Klein",1
"216","d","d3_w_24","Elefant","BSG","Belebt","Saeugetier","Klein","Igel","BSK","d1_w_24","01_09",0,0,"Belebt",1,"Saeugetier",1,"Gross",0
"217","e","e2_w_25","Handtrommel","UIK","Unbelebt","Instrument","Klein","Handtrommel","UIK","e1_w_24","01_09",1,1,"Unbelebt",1,"Instrument",1,"Klein",1
"218","e","e3_w_22","Jumbojet","UFG","Unbelebt","Instrument","Klein","Handtrommel","UIK","e1_w_24","01_09",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",0
"219","f","f2_m_38","Anakonda","BRG","Unbelebt","Instrument","Klein","Handtrommel","UIK","f1_w_20","01_09",0,0,"Belebt",0,"Reptil",0,"Gross",0
"220","f","f3_w_24","Anakonda","BRG","Unbelebt","Instrument","Klein","Handtrommel","UIK","f1_w_20","01_09",0,0,"Belebt",0,"Reptil",0,"Gross",0
"221","g","g2_w_25","Harpyie","BVG","Belebt","Saeugetier","Gross","Elefant","BSG","g1_w_27","01_09",0,0,"Belebt",1,"Vogel",0,"Gross",1
"222","g","g3_w_26","Elefant","BSG","Belebt","Saeugetier","Gross","Elefant","BSG","g1_w_27","01_09",1,1,"Belebt",1,"Saeugetier",1,"Gross",1
"223","h","h2_m_34","Blaumeise","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","h1_w_27","01_09",1,1,"Belebt",1,"Vogel",1,"Klein",1
"224","h","h3_m_30","Blindschleiche","BRK","Belebt","Vogel","Klein","Blaumeise","BVK","h1_w_27","01_09",0,0,"Belebt",1,"Reptil",0,"Klein",1
"225","i","i2_w_24","Gecko","BRK","Belebt","Reptil","Gross","Komodowaran","BRG","i1_w_30","01_09",0,0,"Belebt",1,"Reptil",1,"Klein",0
"226","i","i3_m_21","Wanduhr","UGG","Belebt","Reptil","Gross","Komodowaran","BRG","i1_w_30","01_09",0,0,"Unbelebt",0,"Geraet",0,"Gross",1
"227","j","j2_w_20","Backofen","UGK","Unbelebt","Geraet","Klein","Backofen","UGK","j1_w_21","01_09",1,1,"Unbelebt",1,"Geraet",1,"Klein",1
"228","j","j3_w_21","Harpyie","BVG","Unbelebt","Geraet","Klein","Backofen","UGK","j1_w_21","01_09",0,0,"Belebt",0,"Vogel",0,"Gross",0
"229","k","k2_w_22","Drucker","UGK","Unbelebt","Geraet","Gross","Buerodrucker","UGG","k1_w_22","01_09",0,0,"Unbelebt",1,"Geraet",1,"Klein",0
"230","k","k3_w_25","Drucker","UGK","Unbelebt","Geraet","Gross","Buerodrucker","UGG","k1_w_22","01_09",0,0,"Unbelebt",1,"Geraet",1,"Klein",0
"231","l","l2_w_22","Baer","BSG","Belebt","Reptil","Gross","Komodowaran","BRG","l1_w_20","01_09",0,0,"Belebt",1,"Saeugetier",0,"Gross",1
"232","l","l3_w_21","Baer","BSG","Belebt","Reptil","Gross","Komodowaran","BRG","l1_w_20","01_09",0,0,"Belebt",1,"Saeugetier",0,"Gross",1
"233","m","m2_w_19","Jumbojet","UFG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","m1_w_18","01_09",1,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"234","m","m3_w_18","Kuh","BSG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","m1_w_18","01_09",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"235","a","a2_w_26","Blaumeise","BVK","Belebt","Vogel","Klein","Spatz","BVK","a1_m_31","01_10",0,1,"Belebt",1,"Vogel",1,"Klein",1
"236","a","a3_m_22","Aeffchen","BSK","Belebt","Vogel","Klein","Spatz","BVK","a1_m_31","01_10",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"237","b","b2_m_27","Spatz","BVK","Belebt","Saeugetier","Klein","Aeffchen","BSK","b1_w_20","01_10",0,0,"Belebt",1,"Vogel",0,"Klein",1
"238","b","b3_w_20","Spatz","BVK","Belebt","Saeugetier","Klein","Aeffchen","BSK","b1_w_20","01_10",0,0,"Belebt",1,"Vogel",0,"Klein",1
"239","c","c2_w_20","Kleinflugzeug","UFK","Unbelebt","Fahrzeug","Gross","SUV","UFG","c1_w_41","01_10",0,0,"Unbelebt",1,"Fahrzeug",1,"Klein",0
"240","c","c3_w_31","Elefant","BSG","Unbelebt","Fahrzeug","Gross","SUV","UFG","c1_w_41","01_10",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"241","d","d2_w_32","Backofen","UGK","Unbelebt","Geraet","Klein","Backofen","UGK","d1_w_24","01_10",1,1,"Unbelebt",1,"Geraet",1,"Klein",1
"242","d","d3_w_24","SUV","UFG","Unbelebt","Geraet","Klein","Backofen","UGK","d1_w_24","01_10",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",0
"243","e","e2_w_25","Jumbojet","UFG","Unbelebt","Geraet","Gross","Industriebackofen","UGG","e1_w_24","01_10",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",1
"244","e","e3_w_22","Krokodil","BRG","Unbelebt","Geraet","Gross","Industriebackofen","UGG","e1_w_24","01_10",0,0,"Belebt",0,"Reptil",0,"Gross",1
"245","f","f2_m_38","Aeffchen","BSK","Belebt","Vogel","Gross","Harpyie","BVG","f1_w_20","01_10",0,0,"Belebt",1,"Saeugetier",0,"Klein",0
"246","f","f3_w_24","Spatz","BVK","Belebt","Vogel","Gross","Harpyie","BVG","f1_w_20","01_10",0,0,"Belebt",1,"Vogel",1,"Klein",0
"247","g","g2_w_25","Elefant","BSG","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","g1_w_27","01_10",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"248","g","g3_w_26","Kontrabass","UIG","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","g1_w_27","01_10",0,0,"Unbelebt",1,"Instrument",0,"Gross",0
"249","h","h2_m_34","Harpyie","BVG","Belebt","Vogel","Gross","Harpyie","BVG","h1_w_27","01_10",1,1,"Belebt",1,"Vogel",1,"Gross",1
"250","h","h3_m_30","Harpyie","BVG","Belebt","Vogel","Gross","Harpyie","BVG","h1_w_27","01_10",1,1,"Belebt",1,"Vogel",1,"Gross",1
"251","i","i2_w_24","Komodowaran","BRG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","i1_w_30","01_10",0,0,"Belebt",0,"Reptil",0,"Gross",1
"252","i","i3_m_21","Jumbojet","UFG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","i1_w_30","01_10",1,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"253","j","j2_w_20","Blindschleiche","BRK","Belebt","Reptil","Gross","Anakonda","BRG","j1_w_21","01_10",0,0,"Belebt",1,"Reptil",1,"Klein",0
"254","j","j3_w_21","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","j1_w_21","01_10",1,1,"Belebt",1,"Reptil",1,"Gross",1
"255","k","k2_w_22","Violine","UIK","Unbelebt","Instrument","Klein","Violine ","UIK","k1_w_22","01_10",0,1,"Unbelebt",1,"Instrument",1,"Klein",1
"256","k","k3_w_25","Spatz","BVK","Unbelebt","Instrument","Klein","Violine ","UIK","k1_w_22","01_10",0,0,"Belebt",0,"Vogel",0,"Klein",1
"257","l","l2_w_22","Industriebackofen","UGG","Belebt","Saeugetier","Gross","Baer","BSG","l1_w_20","01_10",0,0,"Unbelebt",0,"Geraet",0,"Gross",1
"258","l","l3_w_21","Grosser Bagger","UFG","Belebt","Saeugetier","Gross","Baer","BSG","l1_w_20","01_10",0,0,"Unbelebt",0,"Fahrzeug",0,"Gross",1
"259","m","m2_w_19","Elefant","BSG","Unbelebt","Instrument","Gross","Kontrabass","UIG","m1_w_18","01_10",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"260","m","m3_w_18","Jumbojet","UFG","Unbelebt","Instrument","Gross","Kontrabass","UIG","m1_w_18","01_10",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",1
"261","a","a2_w_26","Kirchenglocke","UIG","Unbelebt","Instrument","Klein","Violine ","UIK","a1_m_31","01_11",0,0,"Unbelebt",1,"Instrument",1,"Gross",0
"262","a","a3_m_22","Storch","BVG","Unbelebt","Instrument","Klein","Violine ","UIK","a1_m_31","01_11",0,0,"Belebt",0,"Vogel",0,"Gross",0
"263","b","b2_m_27","Violine","UIK","Belebt","Vogel","Klein","Spatz","BVK","b1_w_20","01_11",0,0,"Unbelebt",0,"Instrument",0,"Klein",1
"264","b","b3_w_20","Kaninchen","BSK","Belebt","Vogel","Klein","Spatz","BVK","b1_w_20","01_11",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"265","c","c2_w_20","Blaumeise","BVK","Belebt","Saeugetier","Klein","Igel","BSK","c1_w_41","01_11",0,0,"Belebt",1,"Vogel",0,"Klein",1
"266","c","c3_w_31","Blaumeise","BVK","Belebt","Saeugetier","Klein","Igel","BSK","c1_w_41","01_11",0,0,"Belebt",1,"Vogel",0,"Klein",1
"267","d","d2_w_32","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","d1_w_24","01_11",1,1,"Belebt",1,"Reptil",1,"Gross",1
"268","d","d3_w_24","Blindschleiche","BRK","Belebt","Reptil","Gross","Anakonda","BRG","d1_w_24","01_11",0,0,"Belebt",1,"Reptil",1,"Klein",0
"269","e","e2_w_25","Aeffchen","BSK","Belebt","Vogel","Klein","Blaumeise","BVK","e1_w_24","01_11",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"270","e","e3_w_22","Handtrommel","UIK","Belebt","Vogel","Klein","Blaumeise","BVK","e1_w_24","01_11",0,0,"Unbelebt",0,"Instrument",0,"Klein",1
"271","f","f2_m_38","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","f1_w_20","01_11",1,1,"Belebt",1,"Reptil",1,"Gross",1
"272","f","f3_w_24","Blindschleiche","BRK","Belebt","Reptil","Gross","Anakonda","BRG","f1_w_20","01_11",0,0,"Belebt",1,"Reptil",1,"Klein",0
"273","g","g2_w_25","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","g1_w_27","01_11",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"274","g","g3_w_26","Harpyie","BVG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","g1_w_27","01_11",0,0,"Belebt",0,"Vogel",0,"Gross",1
"275","h","h2_m_34","Bodentrommel","UIG","Belebt","Reptil","Klein","Gecko","BRK","h1_w_27","01_11",0,0,"Unbelebt",0,"Instrument",0,"Gross",0
"276","h","h3_m_30","Aeffchen","BSK","Belebt","Reptil","Klein","Gecko","BRK","h1_w_27","01_11",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"277","i","i2_w_24","Komodowaran","BRG","Unbelebt","Instrument","Klein","Handtrommel","UIK","i1_w_30","01_11",0,0,"Belebt",0,"Reptil",0,"Gross",0
"278","i","i3_m_21","Handtrommel","UIK","Unbelebt","Instrument","Klein","Handtrommel","UIK","i1_w_30","01_11",1,1,"Unbelebt",1,"Instrument",1,"Klein",1
"279","j","j2_w_20","Gecko","BRK","Belebt","Reptil","Klein","Gecko","BRK","j1_w_21","01_11",1,1,"Belebt",1,"Reptil",1,"Klein",1
"280","j","j3_w_21","Blaumeise","BVK","Belebt","Reptil","Klein","Gecko","BRK","j1_w_21","01_11",0,0,"Belebt",1,"Vogel",0,"Klein",1
"281","k","k2_w_22","Buerodrucker","UGG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","k1_w_22","01_11",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"282","k","k3_w_25","Kontrabass","UIG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","k1_w_22","01_11",0,0,"Unbelebt",1,"Instrument",0,"Gross",1
"283","l","l2_w_22","Blaumeise","BVK","Unbelebt","Fahrzeug","Klein","Kleinwagen","UFK","l1_w_20","01_11",0,0,"Belebt",0,"Vogel",0,"Klein",1
"284","l","l3_w_21","Kaninchen","BSK","Unbelebt","Fahrzeug","Klein","Kleinwagen","UFK","l1_w_20","01_11",0,0,"Belebt",0,"Saeugetier",0,"Klein",1
"285","m","m2_w_19","Kaninchen","BSK","Belebt","Reptil","Klein","Schildkroete","BRK","m1_w_18","01_11",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"286","m","m3_w_18","Spatz","BVK","Belebt","Reptil","Klein","Schildkroete","BRK","m1_w_18","01_11",0,0,"Belebt",1,"Vogel",0,"Klein",1
"287","a","a2_w_26","Backofen","UGK","Unbelebt","Geraet","Klein","Backofen","UGK","a1_m_31","01_12",1,1,"Unbelebt",1,"Geraet",1,"Klein",1
"288","a","a3_m_22","Kleinwagen","UFK","Unbelebt","Geraet","Klein","Backofen","UGK","a1_m_31","01_12",0,0,"Unbelebt",1,"Fahrzeug",0,"Klein",1
"289","b","b2_m_27","Handtrommel","UIK","Unbelebt","Geraet","Gross","Wanduhr","UGG","b1_w_20","01_12",0,0,"Unbelebt",1,"Instrument",0,"Klein",0
"290","b","b3_w_20","Bodentrommel","UIG","Unbelebt","Geraet","Gross","Wanduhr","UGG","b1_w_20","01_12",0,0,"Unbelebt",1,"Instrument",0,"Gross",1
"291","c","c2_w_20","Gloeckchen","UIK","Unbelebt","Geraet","Gross","Buerodrucker","UGG","c1_w_41","01_12",0,0,"Unbelebt",1,"Instrument",0,"Klein",0
"292","c","c3_w_31","Gloeckchen","UIK","Unbelebt","Geraet","Gross","Buerodrucker","UGG","c1_w_41","01_12",0,0,"Unbelebt",1,"Instrument",0,"Klein",0
"293","d","d2_w_32","Blindschleiche","BRK","Belebt","Reptil","Klein","Blindschleiche","BRK","d1_w_24","01_12",1,1,"Belebt",1,"Reptil",1,"Klein",1
"294","d","d3_w_24","Anakonda","BRG","Belebt","Reptil","Klein","Blindschleiche","BRK","d1_w_24","01_12",0,0,"Belebt",1,"Reptil",1,"Gross",0
"295","e","e2_w_25","Blindschleiche","BRK","Belebt","Reptil","Gross","Anakonda","BRG","e1_w_24","01_12",0,0,"Belebt",1,"Reptil",1,"Klein",0
"296","e","e3_w_22","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","e1_w_24","01_12",1,1,"Belebt",1,"Reptil",1,"Gross",1
"297","f","f2_m_38","Spatz","BVK","Belebt","Vogel","Klein","Spatz","BVK","f1_w_20","01_12",1,1,"Belebt",1,"Vogel",1,"Klein",1
"298","f","f3_w_24","Kaninchen","BSK","Belebt","Vogel","Klein","Spatz","BVK","f1_w_20","01_12",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"299","g","g2_w_25","Kirchenglocke","UIG","Unbelebt","Instrument","Gross","Kontrabass","UIG","g1_w_27","01_12",0,1,"Unbelebt",1,"Instrument",1,"Gross",1
"300","g","g3_w_26","Buerodrucker","UGG","Unbelebt","Instrument","Gross","Kontrabass","UIG","g1_w_27","01_12",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"301","h","h2_m_34","Elefant","BSG","Belebt","Saeugetier","Gross","Elefant","BSG","h1_w_27","01_12",1,1,"Belebt",1,"Saeugetier",1,"Gross",1
"302","h","h3_m_30","Elefant","BSG","Belebt","Saeugetier","Gross","Elefant","BSG","h1_w_27","01_12",1,1,"Belebt",1,"Saeugetier",1,"Gross",1
"303","i","i2_w_24","Armbanduhr","UGK","Belebt","Saeugetier","Klein","Igel","BSK","i1_w_30","01_12",0,0,"Unbelebt",0,"Geraet",0,"Klein",1
"304","i","i3_m_21","Armbanduhr","UGK","Belebt","Saeugetier","Klein","Igel","BSK","i1_w_30","01_12",0,0,"Unbelebt",0,"Geraet",0,"Klein",1
"305","j","j2_w_20","Blaumeise","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","j1_w_21","01_12",1,1,"Belebt",1,"Vogel",1,"Klein",1
"306","j","j3_w_21","Gecko","BRK","Belebt","Vogel","Klein","Blaumeise","BVK","j1_w_21","01_12",0,0,"Belebt",1,"Reptil",0,"Klein",1
"307","k","k2_w_22","Drucker","UGK","Unbelebt","Geraet","Klein","Drucker","UGK","k1_w_22","01_12",1,1,"Unbelebt",1,"Geraet",1,"Klein",1
"308","k","k3_w_25","Buerodrucker","UGG","Unbelebt","Geraet","Klein","Drucker","UGK","k1_w_22","01_12",0,0,"Unbelebt",1,"Geraet",1,"Gross",0
"309","l","l2_w_22","Storch","BVG","Belebt","Saeugetier","Klein","Aeffchen","BSK","l1_w_20","01_12",0,0,"Belebt",1,"Vogel",0,"Gross",0
